time,close,high,low,open,volumefrom,volumeto
1428019200,259.64,260.26,250.31,252.6,146284.74,37346885.38
1428278400,244.57,261.45,242.57,259.64,193371.83,48659882.58
1428537600,236.48,246.22,231.3,244.57,221377.16,52894808.26
1428796800,217.99,237.52,214.27,236.48,253371.92,57113090.89
1429056000,222.59,229.53,217.15,217.99,229041.7,51429955.54
1429315200,224.24,226.94,220.57,222.59,116904.61,26219717.59
1429574400,235.4,238.4,223.29,224.24,188357.94,43921499.29
1429833600,218.7,236.55,214.14,235.4,214331.75,48325568.82
1430092800,225.42,242.65,216.6,218.7,250272.31,56336196.51
1430352000,235.34,240.01,224.68,225.42,209453.3,49124199.54
1430611200,235.82,243.58,231.78,235.34,202699.81,48321593.73
1430870400,243.74,247.01,228.24,235.82,282218.61,66669625.51
1431129600,241.81,247.87,238.23,243.74,163955.65,39734930.2
1431388800,236.9,243.91,232.36,241.81,195523.83,46875266.21
1431648000,236.3,238.83,234.57,236.9,101515.82,24086149.91
1431907200,233.96,237.1,231.27,236.3,143769.1,33693025.53
1432166400,238.94,242,233.61,233.96,153073.45,36404712.19
1432425600,237.84,242.39,235.58,238.94,93718.98,22421983.44
1432684800,237.03,238.95,235.13,237.84,122699.4,29195552.13
1432944000,223.14,237.06,220.97,237.03,167685.4,38434112.17
1433203200,224.22,227.86,222.25,223.14,159213.9,35880079.13
1433462400,223.47,226.36,222.15,224.22,119404.32,26876056.33
1433721600,228.79,231.36,222.99,223.47,170629.45,38998316.22
1433980800,232.48,233.14,228.54,228.79,116757.61,26955666.2
1434240000,249.82,254.15,232.09,232.48,218835.57,52663657.32
1434499200,244.13,258.48,242.46,249.82,284453.11,70989263.46
1434758400,247.46,248.6,238.7,244.13,124021.32,30324672.43
1435017600,242.56,247.67,239.05,247.46,125898.11,30639477.95
1435276800,248.88,251.59,240.14,242.56,132210.09,32593642.31
1435536000,257.62,268.73,247.96,248.88,276110.56,71443176.53
1435795200,260.55,261.29,252.44,257.62,114535.27,29398184.57
1436054400,266.21,277.48,257.61,260.55,180633.49,38253402.38
1436313600,283.62,297.85,263.18,266.21,210850.07,58470936.28
1436572800,290.35,315.88,276.85,283.62,314035.4,93192380.82
1436832000,276.59,296.96,273.28,290.35,241522.45,69065642.3
1437091200,273.18,282.53,243.24,276.59,147660.78,40897926.17
1437350400,276.46,281.05,271.82,273.18,137620.06,38164811.94
1437609600,288.74,291.24,274.26,276.46,151669.14,42990566.44
1437868800,293.7,296.68,285.4,288.74,149768.3,43862804.41
1438128000,283.73,294.72,280.77,293.7,144678.14,41645968.57
1438387200,281.58,285,275.93,283.73,120992.85,34053711.51
1438646400,278,285.66,276.46,281.58,116389.11,32906040.88
1438905600,263.87,279.6,257.42,278,182830.13,49382537.98
1439164800,267.66,271.5,260.52,263.87,156665.12,41788315.5
1439424000,260.52,268.39,259.38,267.66,147720.69,39164653
1439683200,246.72,261.92,245.74,260.52,211423.08,54154510.61
1439942400,232.4,247.95,214.29,246.72,394453.06,90225497.04
1440201600,211.43,235.07,207.82,232.4,319741.49,71189583.57
1440460800,222.73,230.69,196.26,211.43,343852.18,75269147.3
1440720000,228.4,234.81,219.6,222.73,174208.94,39941711.02
1440979200,228.63,231.79,224.2,228.4,179816.63,41171988.39
1441238400,233.67,235.61,225.36,228.63,164193.3,37764977.27
1441497600,243.24,246.38,234.74,233.67,199812.98,48289787.46
1441756800,239.9,244.34,234.31,243.24,175575.09,42076308.62
1442016000,229.91,240.32,225.96,239.9,156467.09,36461448.98
1442275200,232.72,242.83,225.05,229.91,157489.87,36268114.98
1442534400,231.09,234.69,229.93,232.72,120792.41,28078825.48
1442793600,229.89,233.24,224.07,231.09,168572.97,38634349.26
1443052800,234.3,237.58,229.57,229.89,173987.89,40758478.52
1443312000,236.71,240.39,231.84,234.3,157710.89,37350216.68
1443571200,236.71,238.66,234.39,236.71,151341.25,35859789.42
1443830400,240.15,277.58,236.07,236.71,136399.68,32589139.15
1444089600,242.58,247.61,239.36,240.15,185598.3,45367661.43
1444348800,247.65,248.26,241.34,242.58,120959.36,29677294.02
1444608000,252.33,255.06,243.11,247.65,184852.96,46026337.86
1444867200,269.58,275.41,251.17,252.33,269656.14,71066633.19
1445126400,269.75,272.44,259.53,269.58,185836.74,49474260.13
1445385600,276.92,279.77,263.54,269.75,222114.18,60710682.06
1445644800,285.15,295.56,277.01,276.92,247239.79,70615846.5
1445904000,313.63,318.48,285.09,285.15,361196.51,109315929.67
1446163200,322.95,334.92,304.6,313.63,336033.73,107986434.35
1446422400,400.89,492.8,319.75,322.95,1162821.51,470018709.66
1446681600,385.09,447.24,348.84,400.89,661253.45,256180497.18
1446940800,336.69,389.78,323.21,385.09,430180.83,157878474.95
1447200000,333.77,346.13,292.38,336.69,525824.37,169679553.66
1447459200,330.21,369.8,314.06,333.77,246569.52,80737278.98
1447718400,324.98,342.91,323.36,330.21,262978.43,87682702.9
1447977600,322.78,328.42,309.48,324.98,191731.18,61658953.27
1448236800,327.52,330.04,315.54,322.78,171078.12,55322900.13
1448496000,355.83,368.92,327.4,327.52,371027.73,130339338.26
1448755200,361.8,382.56,353.66,355.83,309037.65,114280939.15
1449014400,361.67,371.37,347.16,361.8,240223.38,86374982.52
1449273600,394.28,402.19,361.5,361.67,343805.67,133609558.3
1449532800,415.49,424.58,388.03,394.28,293386.15,120627229.77
1449792000,434.69,467.71,403.69,415.49,450638.72,196170808.81
1450051200,453.98,465.16,428.84,434.69,511209.21,230316942.04
1450310400,461.2,466.12,447.29,453.98,209294.3,96097459.28
1450569600,437.03,462.76,423.99,461.2,309308.06,136432236.94
1450828800,454.05,460.62,434.28,437.03,185241.87,83225970.1
1451088000,421.76,456.48,400.45,454.05,344509.62,145802713.93
1451347200,429.95,435.04,417.14,421.76,204128.74,87211140.92
1451606400,430.7,437.95,423.09,429.95,135369.77,58391270.14
1451865600,430.82,435.26,425,430.7,141469.77,61145891.88
1452124800,448.31,462.92,428.52,430.82,261312,117814754.3
1452384000,445.04,451.08,438.62,448.31,145630.61,65050338.17
1452643200,372.26,443.72,364.71,445.04,406354.3,166534539.3
1452902400,384.4,390.72,350.39,372.26,319352.7,120307953.96
1453161600,410.24,425.72,374.05,384.4,346600.4,139556736.2
1453420800,402.13,411.49,374.9,410.24,270775.84,106227499.42
1453680000,395.02,403.78,386.85,402.13,168142.9,66474916.58
1453939200,377.76,395.42,363.49,395.02,251954.96,95365511.73
1454198400,373.92,380.54,365.27,377.76,164346.79,61570197.14
1454457600,386.46,391.83,366.2,373.92,222599.1,84916815.7
1454716800,372.63,386.35,372.1,386.46,181829.5,68621077.67
1454976000,379.45,385.38,371.42,372.63,215499.78,81797959.8
1455235200,405.5,405.93,379.32,379.45,175507.62,68885294.42
1455494400,417.14,421.45,396.56,405.5,244780.81,100149030.07
1455753600,440.06,442.66,414.78,417.14,241213.25,103033382.77
1456012800,419.9,447.61,414.36,440.06,250226.87,108599975.45
1456272000,427.32,427.58,410.36,419.9,173260.63,73375313.18
1456531200,436.21,441.32,421.22,427.32,162412.92,70496847.39
1456790400,419.56,439.02,414.94,436.21,204108.59,87395733.71
1457049600,405.96,423.39,386.93,419.56,267010.68,108467003.65
1457308800,412.76,416.72,401.98,405.96,166463.53,68589574.87
1457568000,410.36,422.4,407.03,412.76,176003.49,73244739.58
1457827200,415.13,417.37,409.57,410.36,132907.26,55156628.61
1458086400,408.16,419.56,402.48,415.13,154423.93,64097460.59
1458345600,411.11,413.45,402.13,408.16,110700.01,45397635.14
1458604800,414.74,419.58,410.78,411.11,128508.59,53582287.47
1458864000,424.57,427.36,412.41,414.74,124369.19,52264657.56
1459123200,412.44,425.36,406.36,424.57,155840.1,65067399.65
1459382400,418.51,420.09,411.45,412.44,111369.06,46397124.09
1459641600,422.07,423.67,416.21,418.51,97121.84,40883522.86
1459900800,417.69,423.51,415.5,422.07,115671.47,48848089.03
1460160000,421.43,422.35,412.39,417.69,89112.12,37472403.77
1460419200,424.02,426.69,420.7,421.43,126464.94,53803268.11
1460678400,426.26,432,423.25,424.02,108728.02,46712694.19
1460937600,441.16,442.86,424.35,426.26,152611.64,66320407
1461196800,450.08,451.48,439.53,441.16,155196.9,69392143.11
1461456000,466,468.86,447.89,450.08,223648.17,103050193.3
1461715200,454.98,467.87,433.9,466,217591.61,98174235.09
1461974400,444.18,456.86,440.21,454.98,130908.47,58696308.22
1462233600,448.08,451.54,441.55,444.18,131078.17,58734232.57
1462492800,457.87,461.48,445.72,448.08,126997.86,58059891.22
1462752000,452.5,464.18,446.81,457.87,148379.75,67707178.56
1463011200,456.44,457.74,448.4,452.5,101937.54,46340844.42
1463270400,453.25,460.28,450.73,456.44,92426.26,42219086.27
1463529600,442.11,456.65,435.42,453.25,140423.67,62925960.47
1463788800,443.69,445.24,436.94,442.11,87635.97,38790866.34
1464048000,453.3,454.25,442.02,443.69,108646.81,48885104.42
1464307200,516.05,548.04,452.71,453.3,438416.83,220048999.78
1464566400,537.4,546.92,512.81,516.05,264014.91,141072237.98
1464825600,571.95,592.68,530.47,537.4,246539.71,138198526.92
